country_name,admin1_name,latitude,longitude,aggregation,indicator,value
#country,#adm1+name,#geo+lat,#geo+lon,,#indicator+name,#indicator+num
Congo,Likouala,2.54336,18.24141,none,flood,1.0
Congo,Likouala,2.54111,18.23468,none,flood,1.0
Congo,Likouala,2.53886,18.23468,none,flood,1.0
Congo,Likouala,2.53886,18.23692,none,flood,1.0
Congo,Likouala,2.53886,18.26612,none,flood,1.0
Congo,Likouala,2.53662,18.23243,none,flood,1.0
Congo,Likouala,2.53662,18.26387,none,flood,1.0
Congo,Likouala,2.51865,18.22569,none,flood,1.0
Congo,Likouala,2.51191,18.22345,none,flood,1.0
Congo,Likouala,2.50293,18.21896,none,flood,1.0
Congo,Likouala,2.50069,18.21896,none,flood,1.0
Congo,Likouala,2.49844,18.2212,none,flood,1.0
Congo,Likouala,2.47823,18.21896,none,flood,1.0
Congo,Likouala,2.47823,18.2212,none,flood,1.0
Congo,Likouala,2.47598,18.21896,none,flood,1.0
Congo,Likouala,2.45352,18.21671,none,flood,1.0
Congo,Likouala,2.40412,18.19874,none,flood,1.0
Congo,Likouala,2.36369,18.17404,none,flood,1.0
Congo,Likouala,2.36369,18.17629,none,flood,1.0
Congo,Likouala,2.36369,18.17853,none,flood,1.0
Congo,Likouala,2.36369,18.18078,none,flood,1.0
Congo,Likouala,2.36145,18.17404,none,flood,1.0
Congo,Likouala,2.36145,18.17629,none,flood,1.0
Congo,Likouala,2.36145,18.17853,none,flood,1.0
Congo,Likouala,2.36145,18.18078,none,flood,1.0
Congo,Likouala,2.3592,18.17404,none,flood,1.0
Congo,Likouala,2.3592,18.17629,none,flood,1.0
Congo,Likouala,2.35471,18.1718,none,flood,1.0
Congo,Likouala,2.34797,18.1673,none,flood,1.0
Congo,Likouala,2.34797,18.17853,none,flood,1.0
Congo,Likouala,2.34573,18.16506,none,flood,1.0
Congo,Likouala,2.34573,18.1673,none,flood,1.0
Congo,Likouala,2.34573,18.17629,none,flood,1.0
Congo,Likouala,2.34348,18.16281,none,flood,1.0
Congo,Likouala,2.34348,18.16506,none,flood,1.0
Congo,Likouala,2.34348,18.17404,none,flood,1.0
Congo,Likouala,2.34123,18.16057,none,flood,1.0
Congo,Likouala,2.34123,18.16281,none,flood,1.0
Congo,Likouala,2.34123,18.16506,none,flood,1.0
Congo,Likouala,2.34123,18.1718,none,flood,1.0
Congo,Likouala,2.34123,18.17404,none,flood,1.0
Congo,Likouala,2.33899,18.16057,none,flood,1.0
Congo,Likouala,2.33899,18.16955,none,flood,1.0
Congo,Likouala,2.33899,18.1718,none,flood,1.0
Congo,Likouala,2.33674,18.1673,none,flood,1.0
Congo,Likouala,2.33674,18.16955,none,flood,1.0
Congo,Likouala,2.3345,18.15832,none,flood,1.0
Congo,Likouala,2.33225,18.16506,none,flood,1.0
Congo,Likouala,2.33225,18.1673,none,flood,1.0
Congo,Likouala,2.33001,18.16506,none,flood,1.0
Congo,Likouala,2.32102,18.14709,none,flood,1.0
Congo,Likouala,2.32102,18.14934,none,flood,1.0
Congo,Likouala,2.31878,18.14709,none,flood,1.0
Congo,Likouala,2.31653,18.1426,none,flood,1.0
Congo,Likouala,2.31653,18.14485,none,flood,1.0
Congo,Likouala,2.31653,18.14709,none,flood,1.0
Congo,Likouala,2.31428,18.1426,none,flood,1.0
Congo,Likouala,2.31428,18.14485,none,flood,1.0
Congo,Likouala,2.31204,18.14035,none,flood,1.0
Congo,Likouala,2.31204,18.1426,none,flood,1.0
Congo,Likouala,2.30979,18.14035,none,flood,1.0
Congo,Likouala,2.3053,18.13137,none,flood,1.0
Congo,Likouala,2.3053,18.13362,none,flood,1.0
Congo,Likouala,2.2514,18.09095,none,flood,1.0
Congo,Likouala,2.24916,18.09095,none,flood,1.0
Congo,Likouala,2.24691,18.0887,none,flood,1.0
Congo,Likouala,2.24691,18.09095,none,flood,1.0
Congo,Likouala,2.24467,18.0887,none,flood,1.0
Congo,Likouala,2.24467,18.09095,none,flood,1.0
Congo,Likouala,2.24242,18.0887,none,flood,1.0
Congo,Likouala,2.24242,18.09095,none,flood,1.0
Congo,Likouala,2.24017,18.08646,none,flood,1.0
Congo,Likouala,2.24017,18.0887,none,flood,1.0
Congo,Likouala,2.23793,18.08646,none,flood,1.0
Congo,Likouala,2.23793,18.0887,none,flood,1.0
Congo,Likouala,2.23568,18.0887,none,flood,1.0
Congo,Likouala,2.23344,18.0887,none,flood,1.0
Congo,Likouala,2.23119,18.08646,none,flood,1.0
Congo,Likouala,2.23119,18.0887,none,flood,1.0
Congo,Likouala,2.22894,18.0887,none,flood,1.0
Congo,Likouala,2.22894,18.09095,none,flood,1.0
Congo,Likouala,2.2267,18.0887,none,flood,1.0
Congo,Likouala,2.2267,18.09095,none,flood,1.0
Congo,Likouala,2.22445,18.0887,none,flood,1.0
Congo,Likouala,2.19975,18.08196,none,flood,1.0
Congo,Likouala,2.19526,18.08421,none,flood,1.0
Congo,Likouala,2.19301,18.08421,none,flood,1.0
Congo,Likouala,2.11666,18.07523,none,flood,1.0
Congo,Likouala,2.11441,18.07523,none,flood,1.0
Congo,Likouala,2.11216,18.07523,none,flood,1.0
Congo,Likouala,2.10992,18.07523,none,flood,1.0
Congo,Likouala,2.10767,18.07523,none,flood,1.0
Congo,Likouala,2.10543,18.07298,none,flood,1.0
Congo,Likouala,2.10543,18.07523,none,flood,1.0
Congo,Likouala,2.10318,18.07298,none,flood,1.0
Congo,Likouala,2.08971,18.07523,none,flood,1.0
Congo,Likouala,2.08746,18.07523,none,flood,1.0
Congo,Likouala,2.08521,18.07523,none,flood,1.0
